id,key,summary
539219,UNBO-3806,Add brand theme into section 
539172,UNBO-3805,Markets - Avg. page load time
539147,UNBO-3804,Remove legacy Navigation code
539103,UNBO-3803,Check how the links to an archived Press render
538681,UNBO-3802,Set up Slack failure notifications for Axe Linking workflow
538592,UNBO-3801,Front Pages missing Feature Group
538483,UNBO-3800,No message displayed when JS is disabled
538452,UNBO-3799,Review automation test data json for enabled OneTrust sites
538379,UNBO-3798,Feature Module | Colors are not changing when mouse is hovered over the tabs.
538344,UNBO-3797,Create New Relic test for checking GA events meet a certain threshold of visitors
538339,UNBO-3796,Events are not firing due to partytown being re-enabled
538174,UNBO-3794,Add ci workflow for Axe Linter
538167,UNBO-3793,Refactor out axios for using the fetch API instead
538161,UNBO-3792,Onetrust Broken - Unilever.fi
538148,UNBO-3790,Redesign notice site 
538147,UNBO-3789,Sanity studio update 
538146,UNBO-3788,Sanity phase 1 - 2024
538120,UNBO-3787,Review distilled sites results - 2024-05-01
538084,UNBO-3786,The media strip in a RTL site doesn't seem to show the image
538056,UNBO-3785,List the languages alphabetically
538054,UNBO-3784,Create a Drafts custom page
538051,UNBO-3783,Be able to copy array items 
538050,UNBO-3782,Brand page sort by title does not work 
538048,UNBO-3781,Brand page sort by title does not work 
537943,UNBO-3780,Document the redirect process for the Editorial redirects
537935,UNBO-3779,Add in a dependency update script
537929,UNBO-3778,Add in TurboRepo
537928,UNBO-3777,Integrate SonarQube
537927,UNBO-3776,Run unit tests on push
537926,UNBO-3775,Add TypeScript linting
537925,UNBO-3774,Create comment linting on commit
537923,UNBO-3773,Create Insights in the WHAM! repository
537872,UNBO-3772,Review for Automation - Feature group module
537871,UNBO-3771,Review for Automation - Decouple brand profile country tabs from country filter
537870,UNBO-3770,Review for Automation - Add 'open' toggle to accordion items
537868,UNBO-3769,Review for Automation - Read time for accessibility hub
537867,UNBO-3768,Review for Automation - Archiving all news & press articles older than 6 years
537865,UNBO-3767,Download callout Module 
537528,UNBO-3766,Housekeeping: Update Storybook version
537496,UNBO-3765,Remove Russian brand logos from Sanity
537431,UNBO-3764,initial search results counts are incorrect until another search request is made
537153,UNBO-3763,Review unilever-com-percy-test.netlify.app results page is not loading in Percy
537006,UNBO-3761,QA Automation dataset update to use /sustainability/take-action/
536788,UNBO-3760,Document the Page Speed insights tool
536688,UNBO-3759,Add in ITSG reference to all resource groups in Azure
536469,UNBO-3758,Create Architecture documentation and add in search documentation
536430,UNBO-3757,Update Debt Investor highchart - Q1 2024
536327,UNBO-3756,Implement our own version of a Retrieval Augmented Generation input+response
536325,UNBO-3754,Implement additional analytics and behavioural querying
536324,UNBO-3753,Fix sorting on news/press search for when a query is provided
536321,UNBO-3752,Type-ahead search in the homepage search
536320,UNBO-3751,Get list if pages to monitor from the unequepage.xml
536319,UNBO-3750,Add Platform and Brand to the list of Domains to test
536318,UNBO-3749,Make use of multilingual vector search
536317,UNBO-3748,Add unit tests to the Page Speed Insights
536316,UNBO-3747,Add monitoring to the Page Speed Metrics
536314,UNBO-3746,Add monitoring to the Page
536313,UNBO-3745,Investigate analytics API required calculate carbon emissions
536312,UNBO-3744,Add better language fields for the schema
